Timestamp,Event Type,PID,Command,Details
2025-04-05 22:57:44.240490,SOFTIRQ_ENTRY,0,swapper/0,TIMER
2025-04-05 22:57:44.240510,SOFTIRQ_EXIT,0,swapper/0,TIMER,ret=0
2025-04-05 22:57:44.240522,SOFTIRQ_ENTRY,0,swapper/0,RCU
2025-04-05 22:57:44.240544,SOFTIRQ_EXIT,0,swapper/0,RCU,ret=0
2025-04-05 22:57:44.240582,SOFTIRQ_ENTRY,15,ksoftirqd/0,RCU
2025-04-05 22:57:44.240601,SOFTIRQ_EXIT,15,ksoftirqd/0,RCU,ret=0
2025-04-05 22:57:44.240612,SOFTIRQ_ENTRY,15,ksoftirqd/0,RCU
2025-04-05 22:57:44.240623,SOFTIRQ_EXIT,15,ksoftirqd/0,RCU,ret=0
2025-04-05 22:57:44.244484,SOFTIRQ_ENTRY,0,swapper/0,TIMER
2025-04-05 22:57:44.244502,SOFTIRQ_EXIT,0,swapper/0,TIMER,ret=0
2025-04-05 22:57:44.244513,SOFTIRQ_ENTRY,0,swapper/0,RCU
2025-04-05 22:57:44.244534,SOFTIRQ_EXIT,0,swapper/0,RCU,ret=0
2025-04-05 22:57:44.244551,SOFTIRQ_ENTRY,14,rcu_tasks_trace,RCU
2025-04-05 22:57:44.244563,SOFTIRQ_EXIT,14,rcu_tasks_trace,RCU,ret=0
2025-04-05 22:57:44.244573,SOFTIRQ_ENTRY,14,rcu_tasks_trace,RCU
2025-04-05 22:57:44.244584,SOFTIRQ_EXIT,14,rcu_tasks_trace,RCU,ret=0
2025-04-05 22:57:44.252470,SOFTIRQ_ENTRY,0,swapper/0,TIMER
2025-04-05 22:57:44.252484,SOFTIRQ_EXIT,0,swapper/0,TIMER,ret=0
2025-04-05 22:57:44.260474,SOFTIRQ_ENTRY,0,swapper/0,TIMER
2025-04-05 22:57:44.260491,SOFTIRQ_EXIT,0,swapper/0,TIMER,ret=0
2025-04-05 22:57:44.300475,SOFTIRQ_ENTRY,0,swapper/0,TIMER
2025-04-05 22:57:44.300499,SOFTIRQ_EXIT,0,swapper/0,TIMER,ret=0
2025-04-05 22:57:44.367349,SOFTIRQ_ENTRY,0,swapper/0,NET_RX
2025-04-05 22:57:44.367405,SOFTIRQ_EXIT,0,swapper/0,NET_RX,ret=0
2025-04-05 22:57:44.367466,SYSCALL_ENTRY,440,sshd,syscall_nr=14
2025-04-05 22:57:44.367493,SYSCALL_ENTRY,440,sshd,syscall_nr=0
2025-04-05 22:57:44.367544,SYSCALL_ENTRY,440,sshd,syscall_nr=14
2025-04-05 22:57:44.367568,SYSCALL_ENTRY,440,sshd,syscall_nr=271
2025-04-05 22:57:44.367593,SYSCALL_ENTRY,440,sshd,syscall_nr=14
2025-04-05 22:57:44.367615,SYSCALL_ENTRY,440,sshd,syscall_nr=1
2025-04-05 22:57:44.367645,SYSCALL_ENTRY,440,sshd,syscall_nr=16
2025-04-05 22:57:44.367668,SYSCALL_ENTRY,440,sshd,syscall_nr=14
2025-04-05 22:57:44.367689,SYSCALL_ENTRY,440,sshd,syscall_nr=271
2025-04-05 22:57:44.367739,SYSCALL_ENTRY,929,bash,syscall_nr=0
2025-04-05 22:57:44.367773,SYSCALL_ENTRY,929,bash,syscall_nr=270
2025-04-05 22:57:44.367810,SYSCALL_ENTRY,929,bash,syscall_nr=1
2025-04-05 22:57:44.367843,SYSCALL_ENTRY,929,bash,syscall_nr=270
2025-04-05 22:57:44.367884,SYSCALL_ENTRY,440,sshd,syscall_nr=14
2025-04-05 22:57:44.367910,SYSCALL_ENTRY,440,sshd,syscall_nr=0
2025-04-05 22:57:44.367956,SYSCALL_ENTRY,440,sshd,syscall_nr=318
2025-04-05 22:57:44.367986,SYSCALL_ENTRY,440,sshd,syscall_nr=14
2025-04-05 22:57:44.368014,SYSCALL_ENTRY,440,sshd,syscall_nr=271
2025-04-05 22:57:44.368042,SYSCALL_ENTRY,440,sshd,syscall_nr=14
2025-04-05 22:57:44.368067,SYSCALL_ENTRY,440,sshd,syscall_nr=1
2025-04-05 22:57:44.368154,SYSCALL_ENTRY,440,sshd,syscall_nr=14
2025-04-05 22:57:44.368179,SYSCALL_ENTRY,440,sshd,syscall_nr=271
2025-04-05 22:57:44.368222,SYSCALL_ENTRY,322,python3,syscall_nr=186
2025-04-05 22:57:44.368333,SYSCALL_ENTRY,322,python3,syscall_nr=1
2025-04-05 22:57:44.368403,SYSCALL_ENTRY,322,python3,syscall_nr=7
2025-04-05 22:57:44.367446,SYSCALL_EXIT,440,sshd,syscall_nr=271,ret=1
2025-04-05 22:57:44.367477,SYSCALL_EXIT,440,sshd,syscall_nr=14,ret=0
2025-04-05 22:57:44.367514,SYSCALL_EXIT,440,sshd,syscall_nr=0,ret=36
2025-04-05 22:57:44.367555,SYSCALL_EXIT,440,sshd,syscall_nr=14,ret=0
2025-04-05 22:57:44.367583,SYSCALL_EXIT,440,sshd,syscall_nr=271,ret=1
2025-04-05 22:57:44.367604,SYSCALL_EXIT,440,sshd,syscall_nr=14,ret=0
2025-04-05 22:57:44.367635,SYSCALL_EXIT,440,sshd,syscall_nr=1,ret=1
2025-04-05 22:57:44.367657,SYSCALL_EXIT,440,sshd,syscall_nr=16,ret=0
2025-04-05 22:57:44.367678,SYSCALL_EXIT,440,sshd,syscall_nr=14,ret=0
2025-04-05 22:57:44.367723,SYSCALL_EXIT,929,bash,syscall_nr=270,ret=1
2025-04-05 22:57:44.367753,SYSCALL_EXIT,929,bash,syscall_nr=0,ret=1
2025-04-05 22:57:44.367787,SYSCALL_EXIT,929,bash,syscall_nr=270,ret=0
2025-04-05 22:57:44.367829,SYSCALL_EXIT,929,bash,syscall_nr=1,ret=1
2025-04-05 22:57:44.367869,SYSCALL_EXIT,440,sshd,syscall_nr=271,ret=1
2025-04-05 22:57:44.367897,SYSCALL_EXIT,440,sshd,syscall_nr=14,ret=0
2025-04-05 22:57:44.367925,SYSCALL_EXIT,440,sshd,syscall_nr=0,ret=1
2025-04-05 22:57:44.367970,SYSCALL_EXIT,440,sshd,syscall_nr=318,ret=5
2025-04-05 22:57:44.367998,SYSCALL_EXIT,440,sshd,syscall_nr=14,ret=0
2025-04-05 22:57:44.368029,SYSCALL_EXIT,440,sshd,syscall_nr=271,ret=1
2025-04-05 22:57:44.368054,SYSCALL_EXIT,440,sshd,syscall_nr=14,ret=0
2025-04-05 22:57:44.368135,SYSCALL_EXIT,440,sshd,syscall_nr=1,ret=36
2025-04-05 22:57:44.368167,SYSCALL_EXIT,440,sshd,syscall_nr=14,ret=0
2025-04-05 22:57:44.368205,SYSCALL_EXIT,322,python3,syscall_nr=7,ret=1
2025-04-05 22:57:44.368241,SYSCALL_EXIT,322,python3,syscall_nr=186,ret=322
2025-04-05 22:57:44.368355,SYSCALL_EXIT,322,python3,syscall_nr=1,ret=50
2025-04-05 22:57:44.370280,SOFTIRQ_ENTRY,0,swapper/0,NET_RX
2025-04-05 22:57:44.370301,SOFTIRQ_EXIT,0,swapper/0,NET_RX,ret=0
